rilevato_il;azienda;sezione;titolo;oggetto;dal;al;ambito;parole;url
2026-09-22;ASL 1 Sassari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n. 913 del 22/09/2026;;;;;;https://www.asl1sassari.it/ap/deliberazione-del-direttore-generale-n-913-del-22-09-2026/
2026-09-22;ASL 1 Sassari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n. 912 del 22/09/2026;;;;;;https://www.asl1sassari.it/ap/deliberazione-del-direttore-generale-n-912-del-22-09-2026/
2026-09-22;ASL 1 Sassari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n. 911 del 22/09/2026;;;;;;https://www.asl1sassari.it/ap/deliberazione-del-direttore-generale-n-911-del-22-09-2026/
2026-09-22;ASL 1 Sassari;Determine Dirigenziali;Determinazione Dirigenziale n. 934 del 22/09/2026;;;;;;https://www.asl1sassari.it/ap/determinazione-dirigenziale-n-934-del-22-09-2026/
2026-09-22;ASL 1 Sassari;Determine Dirigenziali;Determinazione Dirigenziale n. 933 del 22/09/2026;;;;;;https://www.asl1sassari.it/ap/determinazione-dirigenziale-n-933-del-22-09-2026/
2026-09-22;ASL 8 Cagliari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n.1139 del 22/09/2026;;;;;;https://www.asl8cagliari.it/ap/deliberazione-del-direttore-generale-n-1139-del-22-09-2026/
2026-09-22;ASL 8 Cagliari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n.1138 del 22/09/2026;;;;;;https://www.asl8cagliari.it/ap/deliberazione-del-direttore-generale-n-1138-del-22-09-2026/
2026-09-22;ASL 8 Cagliari;Delibere del Direttore Generale;Deliberazione del Direttore Generale n.1137 del 22/09/2026;;;;;;https://www.asl8cagliari.it/ap/deliberazione-del-direttore-generale-n-1137-del-22-09-2026/
2026-09-22;ASL 2 Gallura;Determine Dirigenziali;Determinazione Dirigenziale n. 214 del 22/09/2026;;;;;;https://www.aslgallura.it/ap/determinazione-dirigenziale-n-214-del-22-09-2026/
2026-09-22;ASL 3 Nuoro;Determine Dirigenziali;Determinazione dirigenziale n. 307 del 22/09/2026;;;;;;https://www.asl3nuoro.it/ap/determinazione-dirigenziale-n-307-del-22-09-2026/
